"","Inside","Outside","Units"
"T","","",""
"T_w","","",""
"T_d","","",""
"RH","","",""
"rho_v","","",""
"rho_v^*","","",""
"VDD","","",""
"P_v","","",""
"P_v^*","","",""
"VPD","","",""
